ENTRY NAME,CODE,PUBLICATION,WEBSERVER,LINK,FOLDER1,CATEGORY1,SUBCATEGORY1,SUBSUBCATEGORY1,DESCRIPTION,GITHUB_STARS,LAST_COMMIT,LAST_COMMIT_AGO,LICENSE,CITATIONS,JOURNAL,JIF,PAGE_ICON,TAGS
GRAPHINVENT,https://github.com/MolecularAI/GraphINVENT,https://doi.org/10.1088/2632-2153/abcf91,,,De Novo Generation,Graph,,,"A platform for graph-based molecular generation using graph neural networks, emphasizing probabilistic generation one bond at a time.",366,2023-03-11T11:55:32.000Z,22 months ago,,96,Machine Learning: Science and Technology,6.3,material/graph,"de novo generation, graph"
hgraph2graph,https://github.com/wengong-jin/hgraph2graph,https://doi.org/10.48550/arXiv.2002.03230,,,De Novo Generation,Graph,,,Hierarchical Generation of Molecular Graphs using Structural Motifs,391,2021-04-28T22:45:38.000Z,45 months ago,,0,,,material/graph,"de novo generation, graph"
HyFactor (Hydrogen-count Labelled Graph-based Defactorization Autoencoder),https://github.com/Laboratoire-de-Chemoinformatique/HyFactor,https://doi.org/10.26434/chemrxiv-2021-18x0d,,,De Novo Generation,Graph,,,"An open-source architecture for structure generation using graph-based approaches, focusing on a new molecular graph type that considers hydrogen counts for enhanced molecular representation and generation.",17,2023-01-17T16:44:50.000Z,24 months ago,,1,,,material/graph,"de novo generation, graph"
MoLeR,https://github.com/microsoft/molecule-generation,https://doi.org/10.48550/arXiv.2103.03864,,,De Novo Generation,Graph,,,a generative model of molecular graphs which supports scaffold-constrained generation (generative chemistry) (standalone),292,2024-01-03T14:28:02.000Z,12 months ago,,0,,,material/graph,"de novo generation, graph"
NYAN (NotYetAnotherNightshade),https://github.com/Chokyotager/NotYetAnotherNightshade,https://doi.org/10.1038/s42256-023-00683-9,,,De Novo Generation,Graph,,,A graph variational encoder designed for embedding molecules into a continuous latent space for molecular property prediction and high-throughput virtual screening in drug discovery.,29,2023-07-11T02:04:24.000Z,18 months ago,,16,Nature Machine Intelligence,18.8,material/graph,"de novo generation, graph"
QADD,https://github.com/yifang000/QADD,https://doi.org/10.1093/bioinformatics/btad157,,,De Novo Generation,Graph,,,QADD is a novel de novo multi-objective quality assessment-based drug design approach that integrates an iterative refinement framework with a graph-based molecular quality assessment model to generate molecules with multiple desired properties.,14,2023-03-20T08:03:48.000Z,22 months ago,,22,Bioinformatics,4.4,material/graph,"de novo generation, graph, multiobjective"
ScaffoldGVAE,https://github.com/ecust-hc/ScaffoldGVAE,https://doi.org/10.1186/s13321-023-00766-0,,,De Novo Generation,Graph,,,"ScaffoldGVAE is a variational autoencoder based on multi-view graph neural networks for scaffold generation and scaffold hopping of drug molecules, aiming to enhance molecular design by focusing on the scaffold components.",33,2023-09-25T02:29:59.000Z,16 months ago,,12,Journal of Cheminformatics,7.1,material/graph,"de novo generation, graph, scaffold, scaffold hopping"
HITL-AL,https://github.com/yasminenahal/hitl-al-gomg,https://doi.org/10.1186/s13321-024-00924-y,,,De Novo Generation,Human-in-the-loop,,,Human-in-the-loop active learning for goal-oriented molecule generation,14,2024-11-14T21:48:50.000Z,2 months ago,,0,Journal of Cheminformatics,7.1,material/human-edit,"de novo generation, human-in-the-loop"
PoE-LLM,https://github.com/shuyana/poeclm,https://doi.org/10.1021/acs.jcim.4c01214,,,De Novo Generation,Language Model,Chemical-space specific,,Navigating Ultralarge Virtual Chemical Spaces with Product-of-Experts Chemical Language Models,6,2024-07-11T04:50:14.000Z,6 months ago,,0,Journal of Chemical Information and Modeling,5.6,material/translate,"de novo generation, language model, chemical space"
moleculegen-ml,https://github.com/sanjaradylov/moleculegen-ml,https://doi.org/10.26434/chemrxiv.14700831,,,De Novo Generation,Language Model,,,"Moleculegen-ML is a Python package for de novo drug design based on generative language modeling, featuring tools for molecular data processing and SMILES-based language modeling.",4,2022-05-23T06:23:39.000Z,32 months ago,,0,,,material/translate,"de novo generation, language model"
MOLLEO,https://github.com/zoom-wang112358/MOLLEO,https://doi.org/10.48550/arXiv.2406.16976,,,De Novo Generation,Language Model,,,Efficient Evolutionary Search Over Chemical Space with Large Language Models,37,2024-06-26T03:00:03.000Z,6 months ago,,0,,,material/translate,"de novo generation, language model"
Saturn,https://github.com/schwallergroup/saturn,https://doi.org/10.48550/arXiv.2405.17066,,,De Novo Generation,Language Model,,,language model based molecular generative design framework that is focused on sample-efficient de novo small molecule design.,32,2024-11-22T12:18:36.000Z,1 months ago,,0,,,material/translate,"de novo generation, language model"
STONED,https://github.com/aspuru-guzik-group/stoned-selfies?tab=readme-ov-file,https://doi.org/10.1039/D1SC00231G,,,De Novo Generation,Language Model,,,"Beyond generative models: superfast traversal, optimization, novelty, exploration and discovery (STONED) algorithm for molecules using SELFIES",122,,48 months ago,,85,Chemical Science,7.6,material/translate,"de novo generation, language model"
DeLinker,https://github.com/oxpig/DeLinker,https://doi.org/10.1021/acs.jcim.9b01120,,,De Novo Generation,"Linker Generation, Linker Design",,,Deep Generative Models for 3D Linker Design,123,2020-06-24T09:48:01.000Z,55 months ago,,162,Journal of Chemical Information and Modeling,5.6,material/link-variant-plus,"de novo generation, linker"
DiffLinker,https://github.com/igashov/DiffLinker,https://doi.org/10.5281/zenodo.10515726,,,De Novo Generation,"Linker Generation, Linker Design",,,"An Equivariant 3D-conditional Diffusion Model for Molecular Linker Design that places missing atoms between disconnected fragments in 3D, designing molecules that incorporate all initial fragments with potential applications in linker generation for drug discovery.",319,2024-04-17T17:16:08.000Z,9 months ago,,0,,,material/link-variant-plus,"de novo generation, linker"
DRLinker,https://github.com/biomed-AI/DRlinker,https://doi.org/10.1021/acs.jcim.2c00982,,,De Novo Generation,Linker Generation,,,Deep Reinforcement Learning for optimization in fragment linking Design,23,2022-10-31T13:08:06.000Z,27 months ago,,33,Journal of Chemical Information and Modeling,5.6,material/link-variant-plus,"de novo generation, linker"
GRELinker,https://github.com/howzh728/GRELinker,https://doi.org/10.1021/acs.jcim.3c01700,,,De Novo Generation,Linker Generation,,,A Graph-based Generative Model for Molecular Linker Design with Reinforcement and Curriculum Learning,7,2024-01-28T11:26:29.000Z,11 months ago,,1,Journal of Chemical Information and Modeling,5.6,material/link-variant-plus,"de novo generation, linker"
Link-INVENT,https://github.com/MolecularAI/Reinvent,https://doi.org/10.1039/d2dd00115b,,,De Novo Generation,Linker Generation,,,Generative Linker Design with Reinforcement Learning,349,2023-10-19T05:26:16.000Z,15 months ago,,29,Digital Discovery,6.2,material/link-variant-plus,"de novo generation, linker"
SyntheMol,https://github.com/swansonk14/SyntheMol,https://doi.org/10.1038/s42256-024-00809-7,,,De Novo Generation,Monte Carlo Tree Seach,,,SyntheMol is a generative AI method for designing structurally novel and diverse drug candidates with predicted bioactivity that are easy to synthesize.,109,2024-06-23T10:46:06.000Z,7 months ago,,38,Nature Machine Intelligence,18.8,material/arrow-decision-outline,"de novo generation, monte carlo tree seach (MCTS)"
VGAE-MCTS,https://github.com/clinfo/VGAE-MCTS,https://doi.org/10.1021/acs.jcim.3c01220,,,De Novo Generation,Monte Carlo Tree Seach,,,A New Molecular Generative Model Combining the Variational Graph Auto-Encoder and Monte Carlo Tree Search (generative chemistry combining deep learning and reinforcement learning based on a molecular graph representation) (standalone).,4,2023-08-01T06:27:47.000Z,17 months ago,,8,Journal of Chemical Information and Modeling,5.6,material/arrow-decision-outline,"de novo generation, monte carlo tree seach (MCTS), graph"
COATI,https://github.com/terraytherapeutics/COATI/tree/main,https://doi.org/10.1021/acs.jcim.3c01753.s001,,,De Novo Generation,Multi-modal,,,"A pre-trained, multi-modal encoder-decoder model designed for navigating and representing chemical space.",110,2024-03-23T18:06:26.000Z,10 months ago,,0,,,material/bookmark-multiple,"de novo generation, multi-modal"
DRAGONFLY,https://github.com/ETHmodlab/dragonfly_gen,https://doi.org/10.1038/s41467-024-47613-w,,,De Novo Generation,"Multi-modal, Target Aware De Novo Generation",Multi-modal,,Prospective de novo drug design with deep interactome learning,32,2024-04-24T07:12:51.000Z,9 months ago,,0,,,material/bookmark-multiple,"de novo generation, multi-modal, target aware de novo generation"
DrugEx,https://github.com/CDDLeiden/DrugEx,https://doi.org/10.1021/acs.jcim.3c00434,,,De Novo Generation,Multi-modal,,,"Library for de novo drug design using RNNs, Transformers within a multi-objective reinforcement learning framework",137,2024-12-02T11:55:41.000Z,1 months ago,,12,Journal of Chemical Information and Modeling,5.6,material/bookmark-multiple,"de novo generation, multi-modal"
Sc2Mol,https://github.com/zhiruiliao/Sc2Mol,https://doi.org/10.1093/bioinformatics/btac814,,,De Novo Generation,Multi-modal,,,"A scaffold-based two-step molecule generator that combines variational autoencoders with transformers to generate molecules, supporting batch random generation for efficiency.",14,2024-01-10T16:51:24.000Z,12 months ago,,10,Bioinformatics,4.4,material/bookmark-multiple,"de novo generation, multi-modal"
MOMO,https://github.com/ahu-bioinf-lab/MOMO-master,https://doi.org/10.1021/acs.jcim.4c00031,,,De Novo Generation,Multiobjective,,,multiobjective molecule optimization framework (MOMO),12,2024-09-25T11:28:38.000Z,3 months ago,,1,Journal of Chemical Information and Modeling,5.6,material/chart-multiple,"de novo generation, multiobjective"
Mothra,https://github.com/sekijima-lab/Mothra,https://doi.org/10.1021/acs.jcim.4c00759,,,De Novo Generation,Multiobjective,,,Mothra: Multiobjective de novo Molecular Generation Using Monte Carlo Tree Search,9,2025-02-14T15:49:30.000Z,2 months ago,,3,Journal of Chemical Information and Modeling,5.6,material/chart-multiple,"de novo generation, multiobjective, monte carlo tree seach (MCTS)"
ParetoDrug,https://github.com/CNDOTA/ParetoDrug,,,,De Novo Generation,Multiobjective,,,multi-objective target-aware molecule generation using Pareto MCTS,8,2024-09-03T02:56:58.000Z,4 months ago,,,,,material/chart-multiple,"de novo generation, multiobjective, monte carlo tree seach (MCTS)"
MACAW,https://github.com/LBLQMM/MACAW/,https://doi.org/10.1021/acs.jcim.2c00229,,,De Novo Generation,Other,,,an accessible tool for molecular embedding and inverse molecular design (generative chemistry) (standalone),14,2022-07-05T18:46:23.000Z,30 months ago,,6,Journal of Chemical Information and Modeling,5.6,material/dots-horizontal,de novo generation
MolGrad,https://github.com/pwolle/MolGrad,https://raw.githubusercontent.com/pwolle/MolGrad/main/paper,,,De Novo Generation,Other,,,"MolGrad is a Jugend forscht project that introduces score-based generative modeling for molecules, aiming to aid the drug development process by generating and optimizing new, high-quality molecules.",7,2021-05-29T10:32:46.000Z,44 months ago,,,,,material/dots-horizontal,de novo generation
DEVELOP,https://github.com/oxpig/DEVELOP,https://doi.org/10.1039/d1sc02436a,,,De Novo Generation,"Pharmacophore, Target Aware De Novo Generation",Pharmacophore,,"Implements Deep Generative Design with 3D Pharmacophoric Constraints for molecular design, focusing on linker design and scaffold elaboration using a combination of variational autoencoders and 3D pharmacophore modeling.",56,2022-01-11T23:19:17.000Z,36 months ago,,59,Chemical Science,7.6,material/dots-hexagon,"de novo generation, pharmacophore, target aware de novo generation"
PGMG,https://github.com/CSUBioGroup/PGMG,https://doi.org/10.1038%2Fs41467-023-41454-9,https://www.csuligroup.com/PGMG,,De Novo Generation,Pharmacophore,De Novo Generation,,"A Pharmacophore-Guided Deep Learning Approach for Bioactive Molecule Generation, offering a strategy to generate molecules with structural diversity based on a pharmacophore hypothesis.",56,2023-11-20T05:09:13.000Z,14 months ago,,25,Nature Communications,14.7,material/dots-hexagon,"de novo generation, pharmacophore"
TransPharmer,https://github.com/iipharma/transpharmer-repo,https://doi.org/10.1038/s41467-025-56349-0,,https://www.semanticscholar.org/reader/fac3d72a3e73f65e1c950104e010edd136cb4201,De Novo Generation,Pharmacophore,,,Pharmacophore-Informed Generative Models,19,2024-06-02T13:53:53.000Z,,,0,Nature Communications,14.7,material/arrow-expand-right,"de novo generation, pharmacophore"
POLYGON,https://github.com/bpmunson/polygon,https://doi.org/10.1038%2Fs41467-024-47120-y,,,De Novo Generation,Polypharmacology,,,POLYGON attempts to optimize the chemical space for multiple protein target domains,31,2025-03-05T17:33:11.000Z,7 months ago,,19,Nature Communications,14.7,material/vector-polygon,"de novo generation, polypharmacology"
REINVENT-HITL,https://github.com/MolecularAI/reinvent-hitl,https://doi.org/10.1186/s13321-022-00667-8,,,De Novo Generation,Reinforcement Learning,Human-in-the-loop,,"Focuses on human-in-the-loop assisted de novo molecular design, leveraging reinforcement learning for optimizing molecules based on human feedback.",23,2023-03-17T15:13:20.000Z,22 months ago,,16,Journal of Cheminformatics,7.1,material/read,"de novo generation, reinforcement learning (RL), human-in-the-loop"
TRACER,https://github.com/sekijima-lab/TRACER,https://doi.org/10.1038/s42004-025-01437-x,,,De Novo Generation,Reinforcement Learning,Reaction-aware,,,10,2025-02-11T07:37:05.000Z,,,0,Communications Chemistry,5.9,material/read,"de novo generation, reinforcement learning (RL), reaction-aware"
Acegen-Open,https://github.com/acellera/acegen-open,https://doi.org/10.1186/s13321-022-00646-z,,,De Novo Generation,Reinforcement Learning,,,TorchRL-based toolkit for reinforcement learning in generative chemistry,79,2024-11-18T14:47:15.000Z,2 months ago,,13,Journal of Cheminformatics,7.1,material/read,"de novo generation, reinforcement learning (RL)"
ChemTSv2,https://github.com/molecule-generator-collection/ChemTSv2,https://doi.org/10.1002/wcms.1680,,,De Novo Generation,Reinforcement Learning,,,"An extended version of ChemTS, focusing on functional molecular design using de novo molecule generators, incorporating improvements for LogP maximization tasks and other molecular design objectives.",94,2025-02-07T09:10:33.000Z,0 months ago,,9,WIREs Computational Molecular Science,16.8,material/read,"de novo generation, reinforcement learning (RL)"
GENTRL (Generative Tensorial Reinforcement Learning),https://github.com/insilicomedicine/GENTRL,https://doi.org/10.1038/s41587-019-0224-x,,,De Novo Generation,Reinforcement Learning,,,"A variational autoencoder with a rich prior distribution of the latent space, trained to find molecules with high reward, emphasizing the relations between molecular structures and their properties.",612,2019-09-09T11:28:04.000Z,65 months ago,,843,Nature Biotechnology,33.1,material/read,"de novo generation, reinforcement learning (RL)"
MolDQN,https://github.com/google-research/google-research/tree/master/mol_dqn,https://doi.org/10.1038/s41598-019-47148-x,,,De Novo Generation,Reinforcement Learning,,,Optimization of Molecules via Deep Reinforcement Learning,35116,2025-03-14T10:48:28.000Z,0 months ago,,271,Scientific Reports,3.8,material/read,"de novo generation, reinforcement learning (RL)"
REINVENT 4,https://github.com/MolecularAI/REINVENT4,https://doi.org/10.1186/s13321-024-00812-5,,,De Novo Generation,Reinforcement Learning,,,"A molecular design tool for various design tasks like de novo design, scaffold hopping, and molecule optimization, using a reinforcement learning algorithm.",434,2025-03-11T09:57:05.000Z,0 months ago,,39,Journal of Cheminformatics,7.1,material/read,"de novo generation, reinforcement learning (RL)"
REINVENT_UI,,,https://reinvent-ui.streamlit.app/REINVENT_UI,,De Novo Generation,Reinforcement Learning,,,UI for REINVENT input generation,,,,,,,,material/read,"de novo generation, reinforcement learning (RL), GUI"
ReLeaSE,https://github.com/isayev/ReLeaSE,https://doi.org/10.1126/sciadv.aap7885,,,De Novo Generation,Reinforcement Learning,,,Utilizes deep reinforcement learning for de novo drug design.,353,2021-12-08T19:49:36.000Z,37 months ago,,856,Science Advances,11.7,material/read,"de novo generation, reinforcement learning (RL)"
RL-GraphInvent,https://github.com/olsson-group/RL-GraphINVENT,https://doi.org/10.1088/2632-2153/abcf91,,,De Novo Generation,Reinforcement Learning,,,An extension using reinforcement learning for targeted molecular generation.,72,2021-06-18T08:35:31.000Z,43 months ago,,96,Machine Learning: Science and Technology,6.3,material/read,"de novo generation, reinforcement learning (RL)"
A Survey of Generative AI for De Novo Drug Design: New Frontiers in Molecule and Protein Generation,https://github.com/gersteinlab/GenAI4Drug,https://doi.org/10.1093/bib/bbae338,,,De Novo Generation,Reviews,,,A Survey of Generative AI for de novo Drug Design: New Frontiers in Molecule and Protein Generation,73,2024-11-30T21:16:21.000Z,1 months ago,,10,Briefings in Bioinformatics,6.8,material/message-draw,"de novo generation, review"
Advances and Challenges in De Novo Drug Design Using Three-Dimensional Deep Generative Models [2022],,https://doi.org/10.1021/acs.jcim.2c00042,,,De Novo Generation,Reviews,,,Advances and Challenges in De Novo Drug Design Using Three-Dimensional Deep Generative Models,,,,,45,Journal of Chemical Information and Modeling,5.6,material/message-draw,"de novo generation, review"
Assessing Deep Generative Models in Chemical Composition Space [2022],,https://doi.org/10.1021/acs.chemmater.2c01860,,,De Novo Generation,Reviews,,,Assessing Deep Generative Models in Chemical Composition Space,,,,,16,Chemistry of Materials,7.2,material/message-draw,"de novo generation, review"
Blundell et al.,,https://doi.org/10.1038/s42256-024-00843-5,,,De Novo Generation,Reviews,,,Machine learning-aided generative molecular design,,,,,23,Nature Machine Intelligence,18.8,material/message-draw,"de novo generation, review"
De novo molecular design and generative models [2021],,https://doi.org/10.1016/j.drudis.2021.05.019,,,De Novo Generation,Reviews,,,De novo molecular design and generative models,,,,,164,Drug Discovery Today,6.5,material/message-draw,"de novo generation, review"
Deep Generative Models in De Novo Drug Molecule Generation [2023],,https://doi.org/10.1021/acs.jcim.3c01496,,,De Novo Generation,Reviews,,,Deep Generative Models in De Novo Drug Molecule Generation,,,,,28,Journal of Chemical Information and Modeling,5.6,material/message-draw,"de novo generation, review"
Deep generative molecular design reshapes drug discovery [2022],,https://doi.org/10.1016/j.xcrm.2022.100794,,,De Novo Generation,Reviews,,,Deep generative molecular design reshapes drug discovery,,,,,99,Cell Reports Medicine,11.7,material/message-draw,"de novo generation, review"
Deep learning approaches for de novo drug design: An overview [2021],,https://doi.org/10.1016/j.sbi.2021.10.001,,,De Novo Generation,Reviews,,,Deep learning approaches for de novo drug design: An overview,,,,,0,Current Opinion in Structural Biology,6.1,material/message-draw,"de novo generation, review"
Deep learning for molecular design�a review of the state of the art [2019],,https://doi.org/10.1039/C9ME00039A,,,De Novo Generation,Reviews,,,Deep learning for molecular design�a review of the state of the art,,,,,429,Molecular Systems Design &amp; Engineering,3.2,material/message-draw,"de novo generation, review"
Deep Learning Generative Models for Drug Discovery [2024],,https://doi.org/10.1007/978-3-031-46238-2_23,,,De Novo Generation,Reviews,,,AI Deep Learning Generative Models for Drug Discovery,,,,,3,Applications of Generative AI,,material/message-draw,"de novo generation, review"
Deep learning to catalyze inverse molecular design [2022],,https://doi.org/10.1016/j.cej.2022.136669,,,De Novo Generation,Reviews,,,Deep learning to catalyze inverse molecular design,,,,,19,Chemical Engineering Journal,13.3,material/message-draw,"de novo generation, review"
Generative chemistry: drug discovery with deep learning generative models [2021],,https://doi.org/10.1007/s00894-021-04674-8,,,De Novo Generation,Reviews,,,Generative chemistry: drug discovery with deep learning generative models,,,,,90,Journal of Molecular Modeling,2.1,material/message-draw,"de novo generation, review"
Generative machine learning for de novo drug discovery: A systematic review [2022],,https://doi.org/10.1016/j.compbiomed.2022.105403,,,De Novo Generation,Reviews,,,Generative machine learning for de novo drug discovery: A systematic review,,,,,75,Computers in Biology and Medicine,7,material/message-draw,"de novo generation, review"
Generative Models as an Emerging Paradigm in the Chemical Sciences [2023],,https://doi.org/10.1021/jacs.2c13467,,,De Novo Generation,Reviews,,,Generative Models as an Emerging Paradigm in the Chemical Sciences,,,,,123,Journal of the American Chemical Society,14.4,material/message-draw,"de novo generation, review"
Generative Models for De Novo Drug Design [2021],,https://doi.org/10.1021/acs.jmedchem.1c00927,,,De Novo Generation,Reviews,,,Generative Models for De Novo Drug Design,,,,,115,Journal of Medicinal Chemistry,6.8,material/message-draw,"de novo generation, review"
Generative models for molecular discovery: Recent advances and challenges [2022],,https://doi.org/10.1002/wcms.1608,,,De Novo Generation,Reviews,,,Generative models for molecular discovery: Recent advances and challenges,,,,,140,WIREs Computational Molecular Science,16.8,material/message-draw,"de novo generation, review"
Inverse molecular design using machine learning: Generative models for matter engineering [2018],,https://doi.org/10.1126/science.aat2663,,,De Novo Generation,Reviews,,,Inverse molecular design using machine learning: Generative models for matter engineering,,,,,1269,Science,44.7,material/message-draw,"de novo generation, review"
Machine learning-aided generative molecular design,,https://doi.org/10.1038/s42256-024-00843-5,,,De Novo Generation,Reviews,,,Machine learning-aided generative molecular design,,,,,23,Nature Machine Intelligence,18.8,material/message-draw,"de novo generation, review"
Molecular design in drug discovery: a comprehensive review of deep generative models [2021],,https://doi.org/10.1093/bib/bbab344,,,De Novo Generation,Reviews,,,Molecular design in drug discovery: a comprehensive review of deep generative models,,,,,95,Briefings in Bioinformatics,6.8,material/message-draw,"de novo generation, review"
MolGenSurvey: A Systematic Survey in Machine Learning Models for Molecule Design [2022],,https://doi.org/10.48550/arXiv.2203.14500,,,De Novo Generation,Reviews,,,MolGenSurvey: A Systematic Survey in Machine Learning Models for Molecule Design,,,,,0,,,material/message-draw,"de novo generation, review"
The Hitchhiker�s Guide to Deep Learning Driven Generative Chemistry [2023],,https://doi.org/10.1021/acsmedchemlett.3c00041,,,De Novo Generation,Reviews,,,The Hitchhiker�s Guide to Deep Learning Driven Generative Chemistry,,,,,20,ACS Medicinal Chemistry Letters,3.5,material/message-draw,"de novo generation, review"
Washburn et al.,,https://doi.org/10.1016/j.sbi.2023.102527,,,De Novo Generation,Reviews,,,Diffusion Models in De Novo Drug Design,,,,,52,Current Opinion in Structural Biology,6.1,material/message-draw,"de novo generation, review"
Molecule-RNN,https://github.com/shiwentao00/Molecule-RNN,,,,De Novo Generation,RNN,,,"Molecule-RNN is a recurrent neural network designed to generate drug-like molecules for drug discovery, learning the distribution of a training dataset to sample similar molecules.",12,2022-05-04T15:46:09.000Z,33 months ago,,,,,material/lan,"de novo generation, recurrrent neural network (RNN)"
RUSH,https://github.com/LRossentue/RUSH,https://doi.org/10.26434/chemrxiv-2024-gd3j4-v2,,,De Novo Generation,Scaffold Hopping,,,Scaffold Hopping with Generative Reinforcement Learning,0,2025-03-10T16:04:04.000Z,,,0,,,material/debug-step-over,"de novo generation, scaffold hopping, reinforcement learning (RL)"
DiffSMol,https://github.com/ninglab/DiffSMol,https://doi.org/10.48550/arXiv.2502.06027,,,De Novo Generation,"Shape-based, Target Aware De Novo Generation",Diffusion,,,5,2025-02-13T05:40:57.000Z,,,,,,material/shape,"de novo generation, shape-based, target aware de novo generation, diffusion"
LigDream,https://github.com/playmolecule/ligdream/tree/master,https://doi.org/10.1021/acs.jcim.8b00706,,,De Novo Generation,Shape-based,,,Generates novel molecules from a reference shape but is no longer actively supported.,84,2024-01-30T09:50:04.000Z,11 months ago,,164,Journal of Chemical Information and Modeling,5.6,material/shape,"de novo generation, shape-based"
SQUID,https://github.com/keiradams/squid,https://doi.org/10.48550/arXiv.2210.04893,,,De Novo Generation,Shape-based,,,Equivariant Shape-Conditioned Generation of 3D Molecules for Ligand-Based Drug Design,60,2024-12-06T17:13:09.000Z,1 months ago,,0,,,material/shape,"de novo generation, shape-based"
ChemSpaceAL,https://github.com/gregory-kyro/ChemSpaceAL,https://doi.org/10.1021/acs.jcim.3c01456,,,De Novo Generation,"Target Aware De Novo Generation, Active Learning",Active-learning,,"an Efficient Active Learning Methodology Applied to Protein-Specific Molecular Generation (generative chemistry) (standalone, 2024).",15,2023-12-14T23:54:27.000Z,13 months ago,,6,Journal of Chemical Information and Modeling,5.6,material/target,"de novo generation, target aware de novo generation, active learning"
BoKDiff,https://github.com/khodabandeh-ali/BoKDiff.git,https://doi.org/10.48550/arXiv.2501.15631,,,De Novo Generation,Target Aware De Novo Generation,Alignement-based,,Best-of-K Diffusion Alignment for Target-Specific 3D Molecule Generation,,,,,,,,material/target,"de novo generation, target aware de novo generation"
3D-Generative-SBDD,https://github.com/luost26/3D-Generative-SBDD,https://doi.org/10.48550/arXiv.2205.07249,,,De Novo Generation,Target Aware De Novo Generation,Auto-regressive NN,,Focuses on structure-based drug design (SBDD) using a 3D generative model to sample molecules for specific protein pockets.,187,2023-02-12T03:41:05.000Z,23 months ago,,0,,,material/target,"de novo generation, target aware de novo generation, auto-regressive neural network (ANN)"
Structure-aware generative molecular design: from 2D or 3D?,,,,https://cheminformantics.blogspot.com/2024/12/structure-aware-generative-molecular.html,De Novo Generation,Target Aware De Novo Generation,Blog Post,,,,,,,,,,material/target,"de novo generation, target aware de novo generation, blog post"
DiffInt,https://github.com/sekijima-lab/DiffInt,https://doi.org/10.1021/acs.jcim.4c01385,,,De Novo Generation,Target Aware De Novo Generation,Diffusion,Explicit Hydrogen Bond Interaction Guidance,Diffusion Model for Structure-Based Drug Design with Explicit Hydrogen Bond Interaction Guidance,16,2024-08-10T06:11:36.000Z,5 months ago,,0,Journal of Chemical Information and Modeling,5.6,material/target,"de novo generation, target aware de novo generation, diffusion"
BindDM,https://github.com/YangLing0818/BindDM,https://doi.org/10.1609/aaai.v38i11.29162,,,De Novo Generation,Target Aware De Novo Generation,Diffusion,,"BindDM extracts subcomplex from protein-ligand complex, and utilizes it to enhance the binding-adaptive 3D molecule generation in complex",14,2024-03-31T03:27:29.000Z,9 months ago,,3,Proceedings of the AAAI Conference on Artificial Intelligence,,material/target,"de novo generation, target aware de novo generation, diffusion"
DiffDec,https://github.com/biomed-AI/DiffDec/blob/master/README.md,https://doi.org/10.1021/acs.jcim.3c01466,,,De Novo Generation,Target Aware De Novo Generation,Diffusion,,A model that uses an end-to-end equivariant diffusion process for optimizing molecular structures through scaffold decoration conditioned on 3D protein pockets.,32,2024-06-24T07:12:55.000Z,7 months ago,,6,Journal of Chemical Information and Modeling,5.6,material/target,"de novo generation, target aware de novo generation, diffusion"
DiffSBDD,https://github.com/arneschneuing/DiffSBDD,https://doi.org/10.1038/s43588-024-00737-x,,,De Novo Generation,Target Aware De Novo Generation,Diffusion,,"Structure-based Drug Design with Equivariant Diffusion Models (standalone, 2024).",399,2025-02-24T17:36:23.000Z,3 months ago,,7,Nature Computational Science,12,material/target,"de novo generation, target aware de novo generation, diffusion"
MolSnapper,https://github.com/oxpig/MolSnapper,https://doi.org/10.1101/2024.03.28.586278,,,De Novo Generation,Target Aware De Novo Generation,Diffusion,,Conditioning Diffusion for Structure Based Drug Design,23,2024-11-09T14:55:14.000Z,2 months ago,,3,,,material/target,"de novo generation, target aware de novo generation, diffusion"
NucleusDiff,https://github.com/yanliang3612/NucleusDiff,https://doi.org/10.48550/arXiv.2409.10584,,,De Novo Generation,Target Aware De Novo Generation,Diffusion,,Manifold-Constrained Nucleus-Level Denoising Diffusion Model for Structure-Based Drug Design,22,24-Nov,0 months ago,,0,,,material/target,"de novo generation, target aware de novo generation, diffusion"
TargetDiff,https://github.com/guanjq/targetdiff,https://doi.org/10.1088/2632-2153/ace58c,,,De Novo Generation,Target Aware De Novo Generation,Diffusion,,"3D Equivariant Diffusion for Target-Aware Molecule Generation and Affinity Prediction (standalone, 2024).",242,2023-07-12T21:54:34.000Z,18 months ago,,0,Machine Learning: Science and Technology,6.3,material/target,"de novo generation, target aware de novo generation, diffusion"
ClickGen,https://github.com/mywang1994/cligen_gen,https://doi.org/10.1038/s41467-024-54456-y,,,De Novo Generation,Target Aware De Novo Generation,Docking-based,,deep learning model that utilizes modular reactions like click chemistry to assemble molecules,9,2024-12-05T15:01:08.000Z,1 months ago,,0,Nature Communications,14.7,material/target,"de novo generation, target aware de novo generation, docking-based"
CReM-dock,https://github.com/ci-lab-cz/crem-dock,https://doi.org/10.26434/chemrxiv-2024-fpzqb-v3,,,De Novo Generation,Target Aware De Novo Generation,Docking-based,,de novo design of synthetically feasible compounds guided by molecular docking,23,2024-12-30T09:49:25.000Z,0 months ago,,0,,,material/target,"de novo generation, target aware de novo generation, docking-based"
Csearch,https://github.com/seoklab/CSearch,https://doi.org/10.1186/s13321-024-00936-8,,,De Novo Generation,Target Aware De Novo Generation,Docking-based,,chemical space search via�virtual synthesis and�global optimization,4,2024-10-18T05:02:19.000Z,3 months ago,,0,Journal of Cheminformatics,7.1,material/target,"de novo generation, target aware de novo generation, docking-based"
